Date,Open,High,Low,Close,Adj Close,Volume,time,y_hat,zScore,mean,stdev,LB,UB,movingAverage,long_entry,long_exit,long_forbidden,num_units_long,short_entry,short_exit,short_forbidden,num_units_short,num_units,pct_ch,port_rets,I
2008-03-19,14.875,17.25,13.75,14.125,11.272941,708486000,0,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,,,1.0
2008-03-20,14.6,16.25,14.375,16.0875,12.83918,198985200,1,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,0.13893792223342616,,1.0
2008-03-24,16.809998999999998,16.924999,14.75,14.9325,11.917394,149566400,2,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,-0.07179477194026417,,1.0
2008-03-25,15.145,16.0625,14.955,15.8125,12.619706,87092000,3,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,0.0589316758344988,,1.0
2008-03-26,15.6825,16.120001000000002,15.3925,15.99,12.76137,43111600,4,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,0.011225618092846114,,1.0
2008-03-27,16.012501,16.184998999999998,15.6625,15.7275,12.551869,39829600,5,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,-0.016416811047716626,,1.0
2008-03-28,15.8425,15.86,15.54,15.69,12.521941,24675200,6,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,-0.0023843461081373583,,1.0
2008-03-31,15.65,15.87,15.5125,15.59,12.442135,22157200,7,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,-0.006373293086111778,,1.0
2008-04-01,15.765,15.92,15.0775,15.4025,12.292495,60410800,8,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,-0.01202687480886518,,1.0
2008-04-02,15.43,15.58,15.125,15.58,12.434151,43836400,9,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,0.011523779346666346,,1.0
2008-04-03,15.4875,16.5725,15.455,16.375,13.068629,100868000,10,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,0.051027046398262305,,1.0
2008-04-04,16.225,16.33,15.9375,16.120001000000002,12.865119,36394400,11,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,-0.01557240625623389,,1.0
2008-04-07,16.275,16.450001,16.004998999999998,16.26,12.976851,28301600,12,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,0.008684878857319544,,1.0
2008-04-08,16.225,17.059998999999998,16.202499,17.022499,13.585388,53925600,13,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,0.046894042321977816,,1.0
2008-04-09,17.110001,17.18,16.4025,16.4475,13.126493,48324400,14,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,-0.03377857150638613,,1.0
2008-04-10,16.540001,16.682501000000002,16.2775,16.5275,13.190339000000002,22372000,15,,,,,,,,False,False,0.0,0.0,False,False,0.0,,,0.004863903862212217,,1.0
2008-04-11,16.3125,16.692498999999998,16.3125,16.5275,13.190339000000002,26421600,16,,,,0.5430475799905186,,,,False,False,0.0,0.0,False,False,0.0,,,0.0,,1.0
2008-04-14,16.674999,16.809998999999998,16.3825,16.42,13.104543,28443600,17,13.408476624999995,-0.7397719415542499,13.408476624999995,0.4108477328316015,12.586781159336793,14.230172090663197,,False,False,0.0,0.0,False,False,0.0,,,-0.006504457542751705,,1.0
2008-04-15,16.5725,16.637501,16.0,16.0875,12.83918,23888000,18,13.309669529411785,-1.145167641960991,13.309669529411785,0.4108477328316015,12.487974063748583,14.131364995074987,,False,False,0.0,0.0,False,False,0.0,,,-0.020249695086658033,,1.0
2008-04-16,16.139999,16.737499,16.139999,16.535,13.196323,25136800,19,13.326833897058831,-0.36919063052718265,13.326833897058831,0.35350544208684237,12.619823012885147,14.033844781232515,,False,False,0.0,0.0,False,False,0.0,,,0.02781665184225152,,1.0
2008-04-17,16.565001000000002,16.9375,16.502501000000002,16.76,13.375893,22459600,20,13.299252985294103,0.20853174014692732,13.299252985294103,0.3675220599602597,12.564208865373583,14.034297105214623,,False,False,0.0,0.0,False,False,0.0,,,0.013607578414077923,,1.0
2008-04-18,17.002501000000002,17.612499,16.799999,17.25,13.766951999999998,104099600,21,13.383829286764689,0.9145856359870186,13.383829286764689,0.4189030509120604,12.546023184940568,14.22163538858881,,False,False,0.0,0.0,False,False,0.0,,,0.029236104086657878,,1.0
2008-04-21,17.370001000000002,18.125,17.2125,17.7425,14.160016,58848000,22,13.563530169117621,1.2097920927375108,13.563530169117621,0.4930482142040245,12.577433740709573,14.54962659752567,,False,False,0.0,0.0,False,False,0.0,,,0.028551272641903783,,1.0
2008-04-22,17.98,18.1,17.5,17.57,14.02234,47357600,23,13.784266220588266,0.45538319060522553,13.784266220588266,0.5227987864359293,12.738668647716407,14.829863793460126,,False,False,0.0,0.0,False,False,0.0,,,-0.009722870369638056,,1.0
2008-04-23,17.737499,17.924999,17.422501,17.52,13.982438,37319600,24,13.932952970588232,0.0942612883340828,13.932952970588232,0.5249772232730583,12.882998524042115,14.98290741713435,,False,False,0.0,0.0,False,False,0.0,,,-0.002845602089237578,,1.0
